HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HR,AR
Chievo,Salernitana,0,4,A,8,14,3,8,1,5,0,0
Udinese,Inter,0,0,D,3,11,3,4,2,9,0,0
Empoli,Fiorentina,1,0,H,6,20,4,11,4,7,0,1
Genoa,Roma,1,1,D,13,11,6,5,4,7,0,0
Lazio,Atalanta,1,3,A,7,10,5,6,2,5,0,0
Napoli,Cagliari,2,1,H,17,4,8,2,6,2,0,1
Parma,Sampdoria,3,3,D,9,14,6,10,2,2,1,1
Sassuolo,Frosinone,2,2,D,14,5,5,3,8,1,0,0
Milan,Bologna,2,1,H,13,14,5,7,5,10,1,2
Atalanta,Genoa,2,1,H,8,13,4,3,0,4,0,0
Cagliari,Lazio,1,2,A,14,10,6,5,4,2,0,0
Fiorentina,Milan,0,1,A,8,10,3,5,5,6,0,0
Frosinone,Udinese,1,3,A,13,11,5,8,14,10,0,0
Roma,Juventus,2,0,H,9,5,4,4,3,3,0,0
Sampdoria,Empoli,1,2,A,11,5,7,4,8,2,0,0
Salernitana,Napoli,1,2,A,10,17,5,8,1,12,0,0
Torino,Sassuolo,3,2,H,17,7,11,3,11,1,0,1
Bologna,Parma,4,1,H,15,3,10,1,13,3,0,1
Inter,Chievo,2,0,H,16,3,11,0,17,0,0,1
Genoa,Cagliari,1,1,D,16,4,9,3,11,3,1,0
Sassuolo,Roma,0,0,D,9,17,3,6,5,5,0,0
Udinese,Salernitana,3,2,H,10,12,4,5,8,6,0,0
Chievo,Sampdoria,0,0,D,4,9,1,6,4,7,1,0
Empoli,Torino,4,1,H,11,10,9,6,7,3,0,0
Juventus,Atalanta,1,1,D,11,11,4,7,5,8,1,0
Milan,Frosinone,2,0,H,9,6,3,2,5,7,0,0
Napoli,Inter,4,1,H,14,10,6,7,3,12,0,0
Parma,Fiorentina,1,0,H,9,12,5,6,3,7,0,0
Lazio,Bologna,3,3,D,10,13,5,6,4,6,0,0
Bologna,Napoli,3,2,H,10,15,5,8,5,8,0,0
Frosinone,Chievo,0,0,D,10,2,5,2,8,2,0,0
Atalanta,Sassuolo,3,1,H,13,4,5,3,7,4,0,2
Cagliari,Udinese,1,2,A,12,9,5,5,12,3,0,0
Fiorentina,Genoa,0,0,D,5,2,5,1,4,1,0,0
Inter,Empoli,2,1,H,20,9,15,5,8,2,1,1
Roma,Parma,2,1,H,16,9,8,5,13,8,0,0
Sampdoria,Juventus,2,0,H,10,6,3,1,7,6,0,0
Salernitana,Milan,2,3,A,7,16,4,8,8,4,0,0
Torino,Lazio,3,1,H,9,9,7,4,5,5,0,0
Parma,Juventus,0,1,A,5,9,4,4,5,8,0,0
Fiorentina,Napoli,3,4,A,10,8,6,6,4,5,0,0
Udinese,Milan,1,0,H,11,6,6,0,9,4,0,0
Cagliari,Brescia,0,1,A,9,8,5,3,8,8,0,0
Roma,Genoa,3,3,D,17,6,9,4,5,1,0,0
Sampdoria,Lazio,0,3,A,12,16,8,10,5,9,0,0
Salernitana,Atalanta,2,3,A,8,18,3,14,2,10,0,0
Torino,Sassuolo,2,1,H,7,13,4,9,6,6,0,0
Verona,Bologna,1,1,D,5,14,2,5,1,6,1,0
Inter,Lecce,4,0,H,16,10,7,4,7,7,0,0
Bologna,Salernitana,1,0,H,18,7,9,1,11,2,0,1
Milan,Brescia,1,0,H,11,4,6,2,5,3,0,0
Juventus,Napoli,4,3,H,10,12,8,7,2,5,0,0
Lazio,Roma,1,1,D,21,8,13,5,8,4,0,0
Atalanta,Torino,2,3,A,19,8,12,6,12,5,0,0
Cagliari,Inter,1,2,A,7,9,3,8,5,5,0,0
Genoa,Fiorentina,2,1,H,18,15,10,7,9,8,0,0
Lecce,Verona,0,1,A,9,11,3,6,2,7,0,1
Sassuolo,Sampdoria,4,1,H,11,8,8,5,3,5,0,0
Udinese,Parma,1,3,A,17,6,12,3,8,1,0,0
Fiorentina,Juventus,0,0,D,15,5,8,4,10,0,0,0
Napoli,Sampdoria,2,0,H,19,7,9,2,8,7,0,0
Inter,Udinese,1,0,H,15,6,10,4,8,3,0,0
Genoa,Atalanta,1,2,A,8,11,3,6,8,7,0,0
Brescia,Bologna,3,4,A,9,17,7,6,2,10,1,0
Parma,Cagliari,1,3,A,14,6,8,4,12,3,0,0
Salernitana,Lazio,2,1,H,9,11,4,7,8,5,0,0
Roma,Sassuolo,4,2,H,14,10,10,5,8,2,0,0
Verona,Milan,0,1,A,6,11,2,6,2,7,1,0
Torino,Lecce,1,2,A,12,12,3,5,7,3,0,0
Cagliari,Genoa,3,1,H,8,7,4,2,4,3,0,0
Udinese,Brescia,0,1,A,6,5,3,3,3,9,0,0
Juventus,Verona,2,1,H,12,8,3,8,2,5,0,0
Milan,Inter,0,2,A,7,11,3,9,2,6,0,0
Sassuolo,Salernitana,3,0,H,17,8,8,3,7,9,0,0
Bologna,Roma,1,2,A,5,14,3,7,3,4,0,0
Lecce,Napoli,1,4,A,8,12,3,10,4,6,0,0
Sampdoria,Torino,1,0,H,10,6,6,1,7,8,0,0
Atalanta,Fiorentina,2,2,D,15,6,5,3,9,1,0,0
Lazio,Parma,2,0,H,22,3,15,1,10,5,0,0
Verona,Udinese,0,0,D,8,5,4,3,6,6,0,0
Brescia,Juventus,1,2,A,13,15,3,7,4,3,0,0
Roma,Atalanta,0,2,A,8,11,4,4,5,1,0,0
Fiorentina,Sampdoria,2,1,H,12,7,8,4,3,1,0,0
Genoa,Bologna,0,0,D,8,14,4,2,5,4,0,0
Inter,Lazio,1,0,H,9,6,4,4,4,6,0,0
Napoli,Cagliari,0,1,A,17,5,8,1,13,1,1,0
Parma,Sassuolo,1,0,H,8,8,4,5,5,4,0,0
Salernitana,Lecce,1,3,A,14,9,7,5,10,1,0,0
Torino,Milan,2,1,H,11,16,5,4,3,5,0,0
Juventus,Salernitana,2,0,H,17,4,10,1,13,2,0,0
Sampdoria,Inter,1,3,A,15,11,2,7,7,5,0,0
Sassuolo,Atalanta,1,4,A,9,10,7,8,7,3,0,0
Napoli,Brescia,2,1,H,16,7,7,3,7,7,0,0
Lazio,Genoa,4,0,H,13,12,11,6,5,7,0,0
Lecce,Roma,0,1,A,10,13,6,6,4,11,0,0
Udinese,Bologna,1,0,H,9,10,4,4,4,5,0,0
Cagliari,Verona,1,1,D,10,11,5,5,3,5,0,0
Milan,Fiorentina,1,3,A,7,13,3,8,4,6,1,0
Parma,Torino,3,2,H,13,6,7,5,7,3,0,0
Salernitana,Parma,1,0,H,12,5,7,2,5,8,1,0
Verona,Sampdoria,2,0,H,6,9,4,3,9,4,0,0
Genoa,Milan,1,2,A,11,9,6,7,7,0,2,0
Fiorentina,Udinese,1,0,H,8,5,4,1,12,3,0,0
Atalanta,Lecce,3,1,H,26,5,14,2,9,5,0,0
Bologna,Lazio,2,2,D,17,8,10,6,5,4,1,0
Roma,Cagliari,1,1,D,17,6,8,3,7,1,0,0
Torino,Napoli,0,0,D,11,10,6,3,4,5,0,0
Inter,Juventus,1,2,A,6,8,4,6,7,2,0,0
Lazio,Atalanta,3,3,D,12,18,5,9,3,1,0,0
Napoli,Verona,2,0,H,13,14,7,6,6,8,0,0
Juventus,Bologna,2,1,H,13,7,11,4,8,5,0,0
Sassuolo,Inter,3,4,A,7,10,4,7,5,7,0,0
Cagliari,Salernitana,2,0,H,13,8,7,5,6,6,0,0
Sampdoria,Roma,0,0,D,7,5,2,1,7,9,0,0
Udinese,Torino,1,0,H,10,8,6,5,6,4,0,0
Parma,Genoa,5,1,H,15,11,7,6,3,7,0,0
Milan,Lecce,2,2,D,18,11,8,7,8,2,0,0
Brescia,Fiorentina,0,0,D,3,10,1,6,6,9,0,1
Verona,Sassuolo,0,1,A,7,9,5,5,9,6,0,0
Lecce,Juventus,1,1,D,9,16,5,6,3,14,0,0
Inter,Parma,2,2,D,16,10,7,5,11,4,0,0
Genoa,Brescia,3,1,H,12,4,11,2,5,3,0,0
Bologna,Sampdoria,2,1,H,10,5,6,3,11,5,0,0
Atalanta,Udinese,7,1,H,23,6,16,3,6,2,0,0
Salernitana,Napoli,1,1,D,5,9,3,4,4,4,0,0
Torino,Cagliari,1,1,D,8,10,5,5,6,11,0,0
Roma,Milan,2,1,H,10,8,5,4,4,8,0,0
Fiorentina,Lazio,1,2,A,9,11,3,8,7,3,1,0
Parma,Verona,0,1,A,15,6,7,2,12,3,0,0
Brescia,Inter,1,2,A,6,6,5,2,9,8,0,0
Napoli,Atalanta,2,2,D,15,12,11,6,2,3,0,0
Cagliari,Bologna,3,2,H,12,6,5,3,4,1,0,0
Juventus,Genoa,2,1,H,18,7,11,3,10,2,1,0
Lazio,Torino,4,0,H,16,6,8,3,8,0,0,0
Sampdoria,Lecce,1,1,D,15,9,6,4,9,5,0,0
Sassuolo,Fiorentina,1,2,A,6,10,5,8,3,7,0,1
Udinese,Roma,0,4,A,8,10,5,6,5,3,0,0
Milan,Salernitana,1,0,H,10,5,6,2,7,6,0,0
Roma,Napoli,2,1,H,13,12,7,6,10,4,1,0
Bologna,Inter,1,2,A,8,11,3,9,2,7,0,0
Torino,Juventus,0,1,A,7,14,4,10,11,6,0,0
Atalanta,Cagliari,0,2,A,11,12,3,8,13,2,1,0
Genoa,Udinese,1,3,A,10,13,2,5,8,5,0,0
Lecce,Sassuolo,2,2,D,7,12,4,5,6,6,0,0
Verona,Brescia,2,1,H,11,11,6,5,5,1,0,0
Fiorentina,Parma,1,1,D,15,7,4,3,5,2,0,0
Milan,Lazio,1,2,A,9,8,4,7,8,4,0,0
Salernitana,Sampdoria,0,1,A,7,9,2,4,8,5,0,0
Sassuolo,Bologna,3,1,H,13,9,8,7,4,4,0,0
Brescia,Torino,0,4,A,5,12,3,7,4,4,1,0
Inter,Verona,2,1,H,19,5,13,2,9,3,0,0
Napoli,Genoa,0,0,D,13,8,8,3,5,2,0,0
Cagliari,Fiorentina,5,2,H,12,10,8,7,5,6,0,0
Lazio,Lecce,4,2,H,17,18,7,10,9,3,0,0
Sampdoria,Atalanta,0,0,D,5,7,2,3,1,7,0,0
Udinese,Salernitana,0,0,D,11,10,4,4,3,7,0,0
Parma,Roma,2,0,H,13,10,8,7,5,10,0,0
Juventus,Milan,1,0,H,11,10,5,7,5,5,0,0
Atalanta,Juventus,1,3,A,14,11,9,5,8,3,0,0
Milan,Napoli,1,1,D,11,12,4,6,3,4,0,0
Torino,Inter,0,3,A,5,6,2,5,12,4,0,0
Bologna,Parma,2,2,D,11,11,7,7,15,2,0,0
Roma,Brescia,3,0,H,14,5,6,2,17,6,0,0
Sassuolo,Lazio,1,2,A,5,10,2,6,5,8,0,1
Verona,Fiorentina,1,0,H,13,7,8,2,8,6,0,0
Sampdoria,Udinese,2,1,H,19,5,13,2,8,2,0,0
Lecce,Cagliari,2,2,D,17,6,8,2,11,2,1,0
Salernitana,Genoa,1,1,D,13,13,7,6,5,4,0,0
Brescia,Atalanta,0,3,A,9,19,5,12,2,11,0,0
Genoa,Torino,0,1,A,5,10,3,3,6,4,0,0
Fiorentina,Lecce,0,1,A,13,6,6,6,9,2,0,0
Juventus,Sassuolo,2,2,D,17,8,9,4,9,2,0,0
Inter,Salernitana,2,1,H,16,8,10,3,8,0,0,0
Lazio,Udinese,3,0,H,15,4,6,0,2,2,0,0
Parma,Milan,0,1,A,6,19,0,8,1,7,0,0
Napoli,Bologna,1,2,A,20,9,5,6,7,0,0,0
Verona,Roma,1,3,A,7,12,3,5,6,5,0,0
Cagliari,Sampdoria,4,3,H,12,9,8,5,6,4,0,0
Inter,Roma,0,0,D,9,6,2,2,8,3,0,0
Atalanta,Verona,3,2,H,21,7,10,2,13,4,0,0
Udinese,Napoli,1,1,D,5,12,1,3,3,10,0,0
Lazio,Juventus,3,1,H,12,8,8,5,4,5,0,0
Lecce,Genoa,2,2,D,22,14,5,4,11,3,0,0
Sassuolo,Cagliari,2,2,D,9,4,3,3,8,4,0,0
Salernitana,Brescia,0,1,A,18,12,4,7,3,1,0,0
Torino,Fiorentina,2,1,H,10,15,5,5,3,9,0,0
Sampdoria,Parma,0,1,A,18,10,6,2,3,2,0,0
Bologna,Milan,2,3,A,11,11,4,7,5,1,0,1
Brescia,Lecce,3,0,H,13,11,9,4,4,6,0,0
Napoli,Parma,1,2,A,22,7,9,5,11,1,0,0
Genoa,Sampdoria,0,1,A,5,2,1,1,4,2,0,1
Verona,Torino,3,3,D,12,12,8,8,6,3,0,0
Bologna,Atalanta,2,1,H,8,15,5,7,4,4,1,0
Juventus,Udinese,3,1,H,14,9,12,7,9,8,0,0
Milan,Sassuolo,0,0,D,17,10,12,6,8,3,0,0
Roma,Salernitana,3,1,H,18,5,13,3,8,3,0,0
Fiorentina,Inter,1,1,D,10,7,5,5,5,1,0,0
Cagliari,Lazio,1,2,A,9,13,4,7,2,9,0,0
Sampdoria,Juventus,1,2,A,13,10,4,4,5,5,1,0
Brescia,Sassuolo,0,2,A,15,11,6,6,4,4,0,0
Fiorentina,Roma,1,4,A,7,8,4,6,5,4,0,0
Udinese,Cagliari,2,1,H,9,13,2,2,2,1,0,0
Inter,Genoa,4,0,H,12,7,9,4,6,3,0,0
Torino,Salernitana,1,2,A,7,7,6,4,10,3,1,0
Atalanta,Milan,5,0,H,14,4,12,1,5,2,0,0
Lecce,Bologna,2,3,A,7,19,3,16,6,2,0,0
Parma,Brescia,1,1,D,13,11,6,4,9,5,0,1
Sassuolo,Napoli,1,2,A,12,14,5,11,7,11,0,0
