HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HR,AR
Inter,Torino,2,2,D,9,10,6,7,5,4,0,0
Salernitana,Parma,1,0,H,15,3,5,0,7,2,0,0
Udinese,Sampdoria,1,0,H,13,9,5,4,8,7,0,0
Roma,Atalanta,3,3,D,21,17,11,10,3,11,0,0
Milan,Roma,2,1,H,18,6,9,3,8,3,0,0
Bologna,Inter,0,3,A,7,10,1,4,3,7,0,0
Parma,Juventus,1,2,A,8,20,7,10,4,7,0,0
Atalanta,Cagliari,0,1,A,8,4,5,3,5,4,0,0
Chievo,Empoli,0,0,D,11,12,5,4,4,6,0,0
Fiorentina,Udinese,1,0,H,13,4,4,1,11,4,0,0
Lazio,Frosinone,1,0,H,17,7,8,5,7,7,0,0
Sampdoria,Napoli,3,0,H,7,12,4,6,4,5,0,0
Sassuolo,Genoa,5,3,H,10,11,8,8,2,10,0,0
Torino,Salernitana,1,0,H,10,8,7,3,9,10,0,0
Frosinone,Sampdoria,0,5,A,6,10,2,7,5,3,0,0
Inter,Parma,0,1,A,24,8,11,6,10,1,0,0
Napoli,Fiorentina,1,0,H,19,7,5,3,10,3,0,0
Cagliari,Milan,1,1,D,7,12,3,7,3,8,0,0
Empoli,Lazio,0,1,A,10,16,3,9,4,7,0,0
Genoa,Bologna,1,0,H,10,8,5,2,5,3,0,1
Juventus,Sassuolo,2,1,H,16,10,6,6,10,4,1,0
Roma,Chievo,2,2,D,15,10,9,5,9,2,0,0
Udinese,Torino,1,1,D,7,9,3,4,3,8,0,0
Salernitana,Atalanta,2,0,H,13,13,6,4,4,4,0,0
Sampdoria,Fiorentina,1,1,D,8,14,4,9,4,6,0,0
Sassuolo,Empoli,3,1,H,20,16,10,11,5,4,0,1
Fiorentina,Salernitana,3,0,H,15,5,5,2,11,1,0,0
Parma,Cagliari,2,0,H,14,9,8,3,4,11,0,0
Sampdoria,Inter,0,1,A,9,14,4,5,3,12,0,0
Bologna,Roma,2,0,H,7,20,2,9,1,10,0,0
Chievo,Udinese,0,2,A,10,9,4,7,7,3,0,0
Frosinone,Juventus,0,2,A,2,18,0,8,3,5,0,0
Lazio,Genoa,4,1,H,16,8,8,4,5,3,0,0
Milan,Atalanta,2,2,D,14,13,8,8,4,3,0,0
Torino,Napoli,1,3,A,9,13,3,8,4,6,0,0
Inter,Fiorentina,2,1,H,11,11,3,8,6,3,0,0
Atalanta,Torino,0,0,D,11,3,4,0,11,1,0,0
Cagliari,Sampdoria,0,0,D,10,10,2,5,7,3,0,0
Genoa,Chievo,2,0,H,11,8,5,2,7,4,0,0
Juventus,Bologna,2,0,H,15,5,9,2,3,0,0,0
Napoli,Parma,3,0,H,20,2,8,0,2,2,0,0
Roma,Frosinone,4,0,H,18,8,13,3,4,3,0,0
Udinese,Lazio,1,2,A,10,5,6,2,6,4,0,0
Empoli,Milan,1,1,D,4,16,3,11,3,10,0,0
Salernitana,Sassuolo,0,2,A,6,10,2,5,6,7,0,0
Inter,Cagliari,2,0,H,12,4,8,1,9,4,0,0
Juventus,Napoli,3,1,H,14,9,9,6,7,4,0,1
Roma,Lazio,3,1,H,10,11,7,5,8,9,0,0
Bologna,Udinese,2,1,H,11,10,6,2,3,4,0,0
Chievo,Torino,0,1,A,8,13,3,5,3,8,0,0
Fiorentina,Atalanta,2,0,H,6,11,4,4,5,6,0,0
Frosinone,Genoa,1,2,A,13,7,6,5,5,2,0,0
Parma,Empoli,1,0,H,7,10,3,6,2,12,0,0
Sassuolo,Milan,1,4,A,8,10,2,10,9,5,0,0
Sampdoria,Salernitana,2,1,H,16,10,9,4,6,5,0,0
Torino,Frosinone,3,2,H,15,8,10,4,2,4,0,0
Cagliari,Bologna,2,0,H,8,10,5,4,4,4,0,0
Empoli,Roma,0,2,A,11,7,4,4,4,3,0,0
Udinese,Juventus,0,2,A,5,13,4,7,4,8,0,0
Atalanta,Sampdoria,0,1,A,15,6,6,3,9,4,0,0
Genoa,Parma,1,3,A,20,7,13,5,9,7,0,0
Lazio,Fiorentina,1,0,H,11,10,5,6,5,6,0,0
Milan,Chievo,3,1,H,14,4,7,2,12,7,0,0
Napoli,Sassuolo,2,0,H,12,10,7,7,4,4,0,1
Salernitana,Inter,1,2,A,9,6,6,4,10,9,0,0
Juventus,Genoa,1,1,D,13,5,4,2,8,2,0,0
Roma,Salernitana,0,2,A,13,5,9,5,8,9,0,1
Udinese,Napoli,0,3,A,7,9,4,4,3,5,0,0
Bologna,Torino,2,2,D,6,12,3,8,3,4,0,0
Chievo,Atalanta,1,5,A,3,15,2,8,1,2,1,0
Fiorentina,Cagliari,1,1,D,7,8,3,5,6,7,0,0
Frosinone,Empoli,3,3,D,5,15,4,10,6,8,0,0
Inter,Milan,1,0,H,14,9,7,2,9,4,0,0
Parma,Lazio,0,2,A,3,15,1,9,2,8,0,0
Sampdoria,Sassuolo,0,0,D,7,7,2,2,4,3,0,0
Atalanta,Parma,3,0,H,21,9,14,5,6,6,0,0
Empoli,Juventus,1,2,A,6,12,4,7,6,10,0,0
Torino,Fiorentina,1,1,D,12,8,4,5,4,5,0,0
Cagliari,Chievo,2,1,H,12,12,4,5,8,2,0,0
Genoa,Udinese,2,2,D,11,11,5,8,4,8,1,0
Milan,Sampdoria,3,2,H,8,3,7,2,5,1,0,0
Napoli,Roma,1,1,D,18,7,6,5,17,3,0,0
Sassuolo,Bologna,2,2,D,11,10,6,6,9,5,0,0
Salernitana,Frosinone,0,3,A,10,5,5,4,9,1,0,0
Lazio,Inter,0,3,A,11,13,4,7,7,6,0,0
Milan,Genoa,2,1,H,19,7,10,2,7,2,0,0
Napoli,Empoli,5,1,H,19,8,13,4,0,7,0,0
Fiorentina,Roma,1,1,D,11,11,3,6,3,6,0,0
Inter,Genoa,5,0,H,17,8,10,3,11,6,0,0
Juventus,Cagliari,3,1,H,11,4,5,3,5,4,0,0
Bologna,Atalanta,1,2,A,9,12,5,6,1,4,0,0
Chievo,Sassuolo,0,2,A,1,8,1,4,3,2,1,0
Lazio,Salernitana,4,1,H,18,5,11,3,8,4,0,0
Parma,Frosinone,0,0,D,9,9,1,1,3,7,1,0
Sampdoria,Torino,1,4,A,10,15,4,8,0,2,0,0
Udinese,Milan,0,1,A,11,15,4,9,4,7,1,0
Frosinone,Fiorentina,1,1,D,5,16,3,10,4,5,0,0
Genoa,Napoli,1,2,A,8,13,3,7,2,7,0,0
Salernitana,Cagliari,2,2,D,8,11,4,3,1,6,0,0
Torino,Parma,1,2,A,12,11,4,7,7,7,0,0
Atalanta,Inter,4,1,H,16,6,10,2,9,6,0,1
Chievo,Bologna,2,2,D,12,12,6,6,5,6,0,0
Empoli,Udinese,2,1,H,9,22,5,9,4,13,0,0
Milan,Juventus,0,2,A,5,12,2,8,2,5,1,0
Roma,Sampdoria,4,1,H,10,4,6,3,7,7,0,0
Sassuolo,Lazio,1,1,D,9,7,4,3,2,6,0,0
Inter,Frosinone,3,0,H,25,5,14,4,11,0,0,0
Juventus,Salernitana,2,0,H,12,8,8,1,6,3,0,0
Udinese,Roma,1,0,H,8,23,3,9,0,12,0,0
Bologna,Fiorentina,0,0,D,8,11,4,6,4,9,0,0
Empoli,Atalanta,3,2,H,12,8,8,5,7,3,0,1
Genoa,Sampdoria,1,1,D,10,6,5,2,7,6,0,0
Lazio,Milan,1,1,D,16,9,6,4,9,4,0,0
Napoli,Chievo,0,0,D,17,7,10,3,20,2,0,0
Parma,Sassuolo,2,1,H,10,12,4,5,2,3,0,0
Cagliari,Torino,0,0,D,3,8,1,5,3,4,0,0
Fiorentina,Juventus,0,3,A,12,9,7,6,4,9,0,0
Sampdoria,Bologna,4,1,H,8,8,6,4,1,4,0,0
Salernitana,Empoli,2,2,D,9,13,5,8,4,9,1,0
Chievo,Lazio,1,1,D,5,19,2,7,4,6,0,0
Frosinone,Cagliari,1,1,D,25,18,11,7,5,1,0,1
Milan,Parma,2,1,H,19,7,6,1,8,8,0,0
Roma,Inter,2,2,D,15,16,6,7,4,7,0,0
Sassuolo,Udinese,0,0,D,17,3,3,1,13,2,0,0
Torino,Genoa,2,1,H,23,8,10,2,5,5,0,1
Atalanta,Napoli,1,2,A,9,9,3,5,12,6,0,0
Juventus,Inter,1,0,H,14,8,6,4,10,8,0,0
Cagliari,Roma,2,2,D,10,14,5,7,7,5,2,0
Lazio,Sampdoria,2,2,D,20,4,11,3,10,6,0,1
Napoli,Frosinone,4,0,H,18,6,10,2,9,3,0,0
Empoli,Bologna,2,1,H,9,14,5,8,4,8,0,0
Genoa,Salernitana,1,1,D,6,16,3,7,1,6,1,0
Milan,Torino,0,0,D,11,10,4,4,11,3,0,0
Parma,Chievo,1,1,D,12,7,7,1,8,2,0,1
Sassuolo,Fiorentina,3,3,D,11,11,7,6,6,10,1,1
Udinese,Atalanta,1,3,A,5,12,2,4,2,7,0,0
Inter,Udinese,1,0,H,15,7,4,1,10,0,0,0
Torino,Juventus,0,1,A,5,7,3,4,7,5,0,0
Cagliari,Napoli,0,1,A,6,13,2,5,2,10,0,0
Fiorentina,Empoli,3,1,H,15,8,9,4,2,3,0,0
Frosinone,Sassuolo,0,2,A,9,13,3,3,6,5,0,0
Roma,Genoa,3,2,H,14,11,7,8,6,4,0,0
Sampdoria,Parma,2,0,H,12,2,10,0,8,4,0,0
Salernitana,Chievo,0,0,D,10,8,3,6,6,4,0,0
Atalanta,Lazio,1,0,H,4,11,2,3,7,7,0,0
Bologna,Milan,0,0,D,7,11,6,4,2,1,0,1
Chievo,Inter,1,1,D,6,9,3,3,5,7,0,0
Empoli,Sampdoria,2,4,A,6,15,3,12,8,5,0,0
Genoa,Atalanta,3,1,H,15,10,7,6,9,6,0,2
Juventus,Roma,1,0,H,15,4,7,4,13,2,0,0
Lazio,Cagliari,3,1,H,15,9,10,5,7,5,0,0
Milan,Fiorentina,0,1,A,11,7,7,1,9,7,0,0
Napoli,Salernitana,1,0,H,15,10,8,6,3,5,0,0
Parma,Bologna,0,0,D,7,5,1,2,4,2,0,0
Sassuolo,Torino,1,1,D,11,4,6,3,12,2,0,0
Udinese,Frosinone,1,1,D,9,10,1,6,2,5,0,0
Atalanta,Juventus,2,2,D,10,10,6,3,5,5,0,1
Bologna,Lazio,0,2,A,6,11,3,7,1,7,0,0
Cagliari,Genoa,1,0,H,12,10,7,4,4,4,0,0
Fiorentina,Parma,0,1,A,16,3,7,2,9,2,1,0
Frosinone,Milan,0,0,D,11,16,5,8,3,6,0,0
Inter,Napoli,1,0,H,9,9,5,4,5,0,0,2
Roma,Sassuolo,3,1,H,16,8,10,3,8,5,0,0
Sampdoria,Chievo,2,0,H,10,7,6,1,4,1,0,0
Salernitana,Udinese,0,0,D,7,3,4,1,7,2,0,0
Torino,Empoli,3,0,H,13,5,10,1,5,1,0,1
Chievo,Frosinone,1,0,H,9,12,3,4,4,2,0,1
Empoli,Inter,0,1,A,7,7,3,6,4,6,0,0
Genoa,Fiorentina,0,0,D,7,8,3,6,7,3,0,0
Juventus,Sampdoria,2,1,H,15,7,8,3,6,3,0,0
Lazio,Torino,1,1,D,10,7,5,6,7,3,1,1
Milan,Salernitana,2,1,H,11,9,6,4,11,2,1,0
Napoli,Bologna,3,2,H,14,10,9,4,6,5,0,0
Parma,Roma,0,2,A,3,19,2,8,2,7,0,0
Sassuolo,Atalanta,2,6,A,13,13,8,9,1,8,0,0
Udinese,Cagliari,2,0,H,19,4,7,1,6,6,1,1
Inter,Sassuolo,0,0,D,8,11,4,6,11,0,0,0
Roma,Torino,3,2,H,11,8,9,3,6,3,0,0
Udinese,Parma,1,2,A,17,7,9,4,8,2,0,0
Cagliari,Empoli,2,2,D,13,9,3,4,4,7,0,0
Fiorentina,Sampdoria,3,3,D,8,9,4,5,4,7,1,0
Frosinone,Atalanta,0,5,A,5,14,3,8,4,8,0,0
Napoli,Lazio,2,1,H,17,13,13,9,7,8,0,1
Salernitana,Bologna,1,1,D,13,12,9,6,7,7,0,0
Genoa,Milan,0,2,A,13,9,7,7,5,6,0,0
Juventus,Chievo,3,0,H,19,7,11,3,12,5,0,0
Milan,Napoli,0,0,D,12,14,7,8,6,8,0,1
Sampdoria,Udinese,4,0,H,14,6,9,0,1,1,0,0
Sassuolo,Cagliari,3,0,H,11,7,9,3,4,12,0,0
Atalanta,Roma,3,3,D,14,7,6,5,9,2,0,0
